DOLocationID,fare_per_mile,DOZone,DOBorough
247,17.422925311203322,West Concourse,Bronx
248,11.732857142857142,West Farms/Bronx River,Bronx
249,4.566701030927835,West Village,Manhattan
250,6.521428571428571,Westchester Village/Unionport,Bronx
252,4.855087719298246,Whitestone,Queens
253,4.645,Willets Point,Queens
254,7.664970059880239,Williamsbridge/Olinville,Bronx
255,6.039724770642202,Williamsburg (North Side),Brooklyn
256,9.618341708542713,Williamsburg (South Side),Brooklyn
257,5.6159375,Windsor Terrace,Brooklyn
258,5.9178231292517,Woodhaven,Queens
259,15.296987179487179,Woodlawn/Wakefield,Bronx
260,10.714598540145985,Woodside,Queens
261,4.241466666666667,World Trade Center,Manhattan
262,6.757691154422789,Yorkville East,Manhattan
263,7.540888888888889,Yorkville West,Manhattan
